0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,104,104,104,104,104,0,0,0,0,0,0,0,0,0,0
18,18,18,18,18,18,85,104,128,104,0,0,0,0,0,0
0,0,0,0,0,86,0,0,72,0,0,93,0,0,0,0
0,0,0,0,0,86,145,145,0,142,142,93,0,0,0,0
0,0,0,0,0,86,145,145,0,142,142,93,0,0,0,0
0,0,0,0,0,86,145,145,0,142,142,93,0,0,0,0
0,0,0,0,0,86,0,0,0,0,0,93,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
